type,id,sha256,file_name,file_type,domain,ip,gti_score,positives,tags
file,90d6aae544561330de2dd96213f1ddb616dd4bf3fec1b644b59b9fdd3f4c8b48,90d6aae544561330de2dd96213f1ddb616dd4bf3fec1b644b59b9fdd3f4c8b48,[pdfast pdfast.exe pdfast-1.0.1.exe],[pe executable win32 windows peexe],,,100,29,[signed revoked-cert calls-wmi overlay checks-user-input long-sleeps detect-debug-environment checks-usb-bus peexe]
file,9b84daf91f2aaa896463801fb952f0887b6eea7881bf4b0dd80efa840edcd40f,9b84daf91f2aaa896463801fb952f0887b6eea7881bf4b0dd80efa840edcd40f,[pdfast.msi 5ad5a.msi c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.2\install\10a88f8\pdfast.msi c:\users\user\appdata\roaming\pdfast\pdfast 1.0.2\install\10a88f8\pdfast.msi c:\windows\installer\72bc50.msi],[installer msi windows],,,1,,[calls-wmi long-sleeps signed msi detect-debug-environment revoked-cert checks-usb-bus]
file,9c157c7986ce77405d73edc9041632d8a37ac4e293960704f0c59e013c3c7c33,9c157c7986ce77405d73edc9041632d8a37ac4e293960704f0c59e013c3c7c33,[pdfast-1.0.2.exe pdfast.exe pdfast],[pe win32 executable peexe windows],,,30,24,[long-sleeps cve-2004-1060 revoked-cert signed cve-2004-0790 cve-2005-0068 calls-wmi checks-usb-bus overlay peexe cve-2015-7759 detect-debug-environment exploit]
file,9ddbca843cbf4cc4606d42008e79ef0d2b3465e375227afc28bf92433ca36fbe,9ddbca843cbf4cc4606d42008e79ef0d2b3465e375227afc28bf92433ca36fbe,[c:\windows\installer\680f48.msi pdfast.msi \\?\c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.2\install\pdfast.msi c:\users\user\appdata\roaming\pdfast\pdfast 1.0.2\install\pdfast.msi],[installer windows msi],,,1,,[long-sleeps msi revoked-cert detect-debug-environment signed calls-wmi checks-usb-bus]
file,9f15efd45b6a6b54a3c0051a9e906bb088f814947304dceed4398881fdfc57dd,9f15efd45b6a6b54a3c0051a9e906bb088f814947304dceed4398881fdfc57dd,[upd.exe 326415-upd.exe c:\users\user\appdata\roaming\pdfast\upd.exe],[peexe win32 windows pe executable],,,30,29,[revoked-cert peexe detect-debug-environment overlay checks-user-input signed calls-wmi]
file,a7f0794872bc5d0fedcf6161c7002e0d9fc7e23cd8d390e0327db7c010dd7a1a,a7f0794872bc5d0fedcf6161c7002e0d9fc7e23cd8d390e0327db7c010dd7a1a,[pdfast pdfast.exe pdfast(1).exe pdfast (1).exe pdfast(2).exe sam_cub cadet.exe c:\users\tx\desktop\pdfast.exe $rox75qq.exe],[peexe pe windows executable win32],,,30,33,[overlay peexe detect-debug-environment checks-usb-bus revoked-cert signed long-sleeps checks-user-input calls-wmi]
file,b83df9f533e7332c9037b12ac194f1dbf2aeef16ccbe9adf3e64bd9e7b544b34,b83df9f533e7332c9037b12ac194f1dbf2aeef16ccbe9adf3e64bd9e7b544b34,[pdfast pdfast.exe],[windows win32 peexe executable pe],,,100,3,[detect-debug-environment long-sleeps checks-disk-space revoked-cert calls-wmi checks-usb-bus overlay checks-user-input peexe signed]
file,bb49a5d31acd261d8c721d5773936133d8e328cf2e8f7e0ccae6e9a32d79fca7,bb49a5d31acd261d8c721d5773936133d8e328cf2e8f7e0ccae6e9a32d79fca7,[pdfast.msi c:\users\user\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\pdfast.msi c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\pdfast.msi c:\windows\installer\3e3eb1.msi],[msi installer windows],,,1,,[msi detect-debug-environment checks-usb-bus signed revoked-cert long-sleeps calls-wmi]
file,cae93e9615e9947336a4e3b0a719cf365cc7efc580b82e5cfc58ca5d77bd53e2,cae93e9615e9947336a4e3b0a719cf365cc7efc580b82e5cfc58ca5d77bd53e2,[pdfast.msi c:\windows\installer\5517a1.msi c:\users\user\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\pdfast.msi c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\pdfast.msi],[installer msi windows],,,1,6,[revoked-cert signed calls-wmi checks-usb-bus long-sleeps msi detect-debug-environment]
file,d1462f5e494aaeddc13c087d90cee0e494d9fb6d442391547a51f1fb57951bbc,d1462f5e494aaeddc13c087d90cee0e494d9fb6d442391547a51f1fb57951bbc,[pdfast.exe pdfast-1.0.1.exe pdfast],[executable windows peexe win32 pe],,,30,19,[checks-user-input detect-debug-environment peexe checks-usb-bus revoked-cert calls-wmi signed long-sleeps overlay]
file,d625019951cfd3feeabe95307fc5c1d7e89d0749a5d8be5ff62701a44206baf4,d625019951cfd3feeabe95307fc5c1d7e89d0749a5d8be5ff62701a44206baf4,[pdfast.msi c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\pdfast.msi c:\users\user\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\pdfast.msi c:\windows\installer\4f45c3.msi],[installer windows msi],,,1,,[detect-debug-environment signed calls-wmi checks-usb-bus msi long-sleeps revoked-cert]
file,d7eceb5e371ffcfbf59e8833d2b2880b5a986a8549ad712d0116f7d82b11e41c,d7eceb5e371ffcfbf59e8833d2b2880b5a986a8549ad712d0116f7d82b11e41c,[pdfast.exe.7z],[7zip compressed],,,1,,[detect-debug-environment checks-usb-bus calls-wmi 7zip long-sleeps]
file,ddac0bbae9d29353563289e1084fa772a0e8e04c016e72f3a61f2e89ad6cc708,ddac0bbae9d29353563289e1084fa772a0e8e04c016e72f3a61f2e89ad6cc708,[pdfast._exe_ c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.2\install\10a88f8\pdfast.exe c:\users\user\appdata\roaming\pdfast\pdfast 1.0.2\install\10a88f8\pdfast.exe pdfast.exe],[peexe win32 executable windows pe],,,100,27,[peexe signed detect-debug-environment checks-user-input revoked-cert assembly overlay]
file,de943870841161c621fe199838cd7652d92ff125679b0e1402af378dd2c0ad36,de943870841161c621fe199838cd7652d92ff125679b0e1402af378dd2c0ad36,[de943870841161c621fe199838cd7652d92ff125679b0e1402af378dd2c0ad36-dropped.bin pdfast.exe c:\users\user\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\pdfast.exe c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\pdfast.exe c:\users\user\appdata\roaming\pdfast\pdfast.exe c:\windows.old\users\a.taylor\appdata\roaming\pdfast\pdfast.exe c:\users\owner\appdata\roaming\pdfast\pdfast.exe],[executable win32 peexe windows pe],,,100,17,[assembly signed detect-debug-environment peexe revoked-cert overlay checks-user-input]
file,e1b2b3c204c20078885facc1ded5f7958f8aa037c0b14309406a8d4b75a62b7a,e1b2b3c204c20078885facc1ded5f7958f8aa037c0b14309406a8d4b75a62b7a,[c:\users\user\appdata\roaming\pdfast\pdfast 1.0.1\install\pdfast.msi \\?\c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.1\install\pdfast.msi c:\windows\installer\4b804e.msi pdfast.msi],[installer windows msi],,,1,,[checks-usb-bus long-sleeps msi revoked-cert signed calls-wmi detect-debug-environment]
file,f4717baf1c5dea2e5a27d55a2ae6ce41069375cf2766ff527d9fbffbfe83c411,f4717baf1c5dea2e5a27d55a2ae6ce41069375cf2766ff527d9fbffbfe83c411,[/scratch/zoo/2025/04/26/763b0c6f275c757bc4419eb45fff7028 c:\users\user\appdata\roaming\pdfast\upd.exe c:\users\aron\appdata\roaming\pdfast\upd.exe upd.exe],[peexe pe windows executable win32],,,30,23,[peexe detect-debug-environment overlay idle signed calls-wmi revoked-cert]
file,f694ba0f21e90da8179bffe4153eb25b066eea95a7f920aa1b5e4baca2a8904d,f694ba0f21e90da8179bffe4153eb25b066eea95a7f920aa1b5e4baca2a8904d,[pdfast-1.0.1.exe pdfast.exe 3956132d8d0f18e2b6d0b5fb1eb6a8e2.sample pdfast],[pe win32 windows executable peexe],,,30,27,[checks-usb-bus checks-user-input signed calls-wmi detect-debug-environment revoked-cert peexe overlay long-sleeps]
file,f79bc02d8ad04f201f6ea5c5948e013befccb74718ded2b1878b16ccb41a92f5,f79bc02d8ad04f201f6ea5c5948e013befccb74718ded2b1878b16ccb41a92f5,[/tmp/21d7eb2f-52b2-44f4-8d85-2c39559d20a0/pdfast%20installer.exe /tmp/b6633ec5-4c0e-4997-b6fa-87013f229eb7/pdfast%20installer.exe /tmp/09a76188-654b-4700-947c-e551f33c89f8/pdfast%20installer.exe pdfast installer.exe /tmp/cad3b7a6-3fb6-4673-9cde-384130b783b8/pdfast%20installer.exe pdfast%20installer.exe /tmp/82052211-97bd-4bca-add3-b35a30600eff/pdfast%20installer.exe],[executable windows peexe pe win32],,,1,2,[assembly checks-user-input signed detect-debug-environment peexe idle overlay]
file,fba52eacc16f101590b250b85a4299955107ae5c4d986b0509cb986ee9bdeeca,fba52eacc16f101590b250b85a4299955107ae5c4d986b0509cb986ee9bdeeca,[c:\users\davi_\downloads\pdfast (1).exe pdfast.exe pdfast],[peexe windows win32 pe executable],,,100,3,[revoked-cert long-sleeps signed peexe checks-usb-bus detect-debug-environment overlay checks-user-input]
